Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,77076,03/25/2024 01:06:00 PM,Queens,50,8,107,MD Residential Structure,Incendiary - Torch - Illegal Use of,Incendiary
2024,30310,03/25/2024 03:28:00 PM,Brooklyn,39,5,75,Commercial Structure,Incendiary,Incendiary
2024,40307,03/25/2024 11:52:00 PM,Queens,46,5,104,Vehicle,Preliminary Investigation Only,Other
2024,20256,03/25/2024 11:55:00 PM,Bronx,3,9,43,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2024,40308,03/26/2024 12:39:00 AM,Queens,50,9,102,Vehicle,Preliminary Investigation Only,Other
2024,20258,03/26/2024 09:54:00 AM,Bronx,27,7,50,Vehicle,Preliminary Investigation Only,Other
2024,30313,03/26/2024 11:19:00 AM,Brooklyn,40,12,66,Manhole,Preliminary Investigation Only,Other
2024,77081,03/26/2024 01:18:00 PM,Staten Island,22,1,120,Outside Rubbish,Incendiary,Incendiary
2024,30312,03/26/2024 01:22:00 PM,Brooklyn,58,18,69,PD Residential Structure,Electrical Wiring,Electrical
2024,30314,03/26/2024 05:07:00 PM,Brooklyn,44,5,75,Vehicle,Preliminary Investigation Only,Other
2024,20260,03/26/2024 07:10:00 PM,Bronx,19,8,50,PD Residential Structure,Other - Hot Objects,Hot Objects
2024,20261,03/27/2024 10:55:00 AM,Bronx,14,1,40,Vehicle,Preliminary Investigation Only,Other
2024,77078,03/27/2024 01:32:00 PM,Staten Island,21,1,120,MFA,MFA,No Fire
2024,30316,03/27/2024 06:22:00 PM,Brooklyn,41,14,70,Vehicle,Preliminary Investigation Only,Other
2024,10149,03/27/2024 06:27:00 PM,Manhattan,4,3,7,Vehicle,Preliminary Investigation Only,Other
2024,30317,03/27/2024 09:09:00 PM,Brooklyn,39,5,75,Vehicle,Preliminary Investigation Only,Other
2024,20262,03/27/2024 09:22:00 PM,Bronx,17,4,44,Vehicle,Preliminary Investigation Only,Other
2024,30318,03/27/2024 11:34:00 PM,Brooklyn,39,5,75,Vehicle,Preliminary Investigation Only,Other
2024,40313,03/28/2024 04:16:00 AM,Queens,54,12,113,PD Residential Structure,Electrical Wiring,Electrical
2024,77077,03/28/2024 07:18:00 AM,Queens,52,7,109,Garage/Shed,Lithium Ion Battery,Electrical
2024,40314,03/28/2024 07:47:00 AM,Queens,53,11,111,Vehicle,Preliminary Investigation Only,Other
2024,30319,03/28/2024 10:45:00 AM,Brooklyn,42,11,62,MD Residential Structure,Computer Component(s),Electrical Devices
2024,40315,03/28/2024 01:27:00 PM,Queens,45,1,114,Commercial Structure,Electrical Wiring,Electrical
